model_name,paper_title,bibtex_key,publication_year,publication_type,venue,authors,first_author,doi,doi_url,paper_url,github_repositories,github_repository_roles,other_code_repositories,categories,secondary_tags,summary,citation_count_openalex_2026_08_06,word_cloud_weight,task_context_transfer_status,task_context_transfer_evidence,task_unseen_genetic_status,task_unseen_genetic_evidence,task_unseen_chemical_status,task_unseen_chemical_evidence,task_genetic_combinations_status,task_genetic_combinations_evidence,task_genetic_combinations_datasets,task_chemical_combinations_status,task_chemical_combinations_evidence,task_chemical_combinations_datasets,scperturbench_context_transfer_evaluated,scperturbench_unseen_genetic_evaluated,scperturbench_unseen_chemical_evaluated,scperturbench_genetic_combinations_evaluated,scperturbench_chemical_combinations_evaluated,local_pdf_path,local_markdown_path,local_text_path,bibliography_source,paper_yaml_path,inventory_selection_rule,inventory_source_notebook
CFM-GP,CFM-GP: Unified Conditional Flow Matching to Learn Gene Perturbation Across Cell Types,cfm-gp,2025,misc,arXiv,"Abir, Abrar Rahman and Dip, Sajib Acharjee and Zhang, Liqing","Abir, Abrar Rahman",10.48550/arXiv.2508.08312,https://doi.org/10.48550/arXiv.2508.08312,https://doi.org/10.48550/arXiv.2508.08312,https://github.com/abrarrahmanabir/CFMGP,https://github.com/abrarrahmanabir/CFMGP (mentioned_in_paper),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,explicit_paper_claim,Title and abstract explicitly describe cross-cell-type gene-perturbation prediction.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/cfm-gp.pdf,metrics-db/extracted_markdown/cfm-gp.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/cfm-gp.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CisTransCell,"CisTransCell: Single-Cell Perturbation Prediction via Gene Function, Regulatory Control, and Cellular Context",cisTransCell,2026,misc,arXiv,"Zhang, Wei and Jiang, Xun and Xi, Yuesi and Tang, Ming","Zhang, Wei",10.48550/arXiv.2606.13713,https://doi.org/10.48550/arXiv.2606.13713,https://doi.org/10.48550/arXiv.2606.13713,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Paper explicitly evaluates zero-shot unseen-gene and gene-combination prediction.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/cisTransCell.pdf,metrics-db/extracted_markdown/cisTransCell.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/cisTransCell.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CLAMP,CLAMP: Steady-State ODE Inference of Gene Regulatory Networks from Single-Cell Perturbations,clamp,2026,inproceedings,The 2026 Workshop on Generative and Agentic AI for Biology,"Gallagher-Syed, Amaya and Wenteler, Aaron and Martinez, Santiago A. and Slabaugh, Gregory","Gallagher-Syed, Amaya",,,https://openreview.net/forum?id=C0DTxoMuYO,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/clamp.pdf,metrics-db/extracted_markdown/clamp.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/clamp.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CMonge,Towards Generalizable Single-Cell Perturbation Modeling via the Conditional Monge Gap,condMongeMap,2025,article,arXiv,"Driessen, Alice and Harsanyi, Benedek and Rapsomaniki, Marianna and Born, Jannis","Driessen, Alice",10.48550/arXiv.2504.08328,https://doi.org/10.48550/arXiv.2504.08328,https://arxiv.org/abs/2504.08328,https://github.com/AI4SCR/Conditional-Monge,https://github.com/AI4SCR/Conditional-Monge (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq; cell_imaging,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Paper explicitly describes conditional transport prediction for unseen drugs.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/condMongeMap.pdf,metrics-db/extracted_markdown/condMongeMap.md,metrics-db/extracted_text/condMongeMap.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/condMongeMap.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CondOT,Supervised Training of Conditional Monge Maps,condOT,2023,article,arXiv,"Bunne, Charlotte and Krause, Andreas and Cuturi, Marco","Bunne, Charlotte",10.48550/arXiv.2206.14262,https://doi.org/10.48550/arXiv.2206.14262,https://doi.org/10.48550/arXiv.2206.14262,https://github.com/bunnech/condot,https://github.com/bunnech/condot (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,14,3.7080502,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper predicts held-out genetic perturbation combinations from single-target observations.,Norman2019,explicit_support_only,"Paper describes therapeutic-combination support, but its explicit combination experiment is genetic.",,False,False,False,False,False,metrics-db/pdfs/condOT.pdf,metrics-db/extracted_markdown/condOT.md,metrics-db/extracted_text/condOT.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/condOT.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CPA,Predicting Cellular Responses to Complex Perturbations in High-throughput Screens,cpa,2023,article,Molecular Systems Biology,"Lotfollahi, Mohammad and Klimovskaia Susmelj, Anna and De Donno, Carlo and Hetzel, Leon and Ji, Yuge and Ibarra, Ignacio L and Srivatsan, Sanjay R and Naghipourfar, Mohsen and others and McFaline-Figueroa, Jose L and Boyeau, Pierre and Wolf, F Alexander and Yakubova, Nafissa and Günnemann, Stephan and Trapnell, Cole and Lopez-Paz, David and Theis, Fabian J","Lotfollahi, Mohammad",10.15252/msb.202211517,https://doi.org/10.15252/msb.202211517,https://doi.org/10.15252/msb.202211517,https://github.com/theislab/chemCPA; https://github.com/theislab/cpa; https://github.com/theislab/cpa-reproducibility; https://github.com/theislab/cpareproducibility,https://github.com/theislab/chemCPA (benchmark); https://github.com/theislab/cpa (primary); https://github.com/theislab/cpa-reproducibility (reproducibility); https://github.com/theislab/cpareproducibility (reproducibility),,model_paper,perturbation_response_modeling; single_cell_rna_seq,Perturbation response prediction based on CVAE with adversarial training.,282,6.6454469,not_established,Available local metadata does not establish this capability.,benchmark_evaluated,Evaluated on unseen genetic perturbations in scPerturBench.,benchmark_evaluated,Evaluated on unseen chemical perturbations in scPerturBench.,benchmark_evaluated,Paper applies CPA to a genetic combinatorial screen and imputes unmeasured combinations. Also evaluated across four genetic-combination datasets in scPerturBench.,Norman2019 Perturb-seq; Norman2019; Wessels2023; Schmidt; Replogle2020,benchmark_evaluated,Paper validates prediction of unseen drug combinations in a new single-cell combination screen. Also evaluated on chemical combinations in scPerturBench.,A549 drug-combination screen; sciPlex3-comb,False,True,True,True,True,metrics-db/pdfs/cpa.pdf,metrics-db/extracted_markdown/cpa.md,metrics-db/extracted_text/cpa.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/cpa.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
CRADLE-VAE,CRADLE-VAE: Enhancing Single-Cell Gene Perturbation Modeling with Counterfactual Reasoning-Based Artifact Disentanglement,cradleVAE,2024,article,arXiv,"Baek, Seungheun and Park, Soyon and Chok, Yan Ting and Lee, Junhyun and Park, Jueon and Gim, Mogan and Kang, Jaewoo","Baek, Seungheun",10.48550/arXiv.2409.05484,https://doi.org/10.48550/arXiv.2409.05484,https://doi.org/10.48550/arXiv.2409.05484,https://github.com/dmis-lab/CRADLE-VAE,https://github.com/dmis-lab/CRADLE-VAE (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,1,1.69314718,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,directly_evaluated,Paper holds out multi-gene combinations and evaluates OOD combination prediction.,Norman2019; Dixit2016,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/cradleVAE.pdf,metrics-db/extracted_markdown/cradleVAE.md,metrics-db/extracted_text/cradleVAE.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/cradleVAE.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
D-SPIN,D-SPIN Constructs Regulatory Network Models from scRNA-seq That Reveal Organizing Principles of Perturbation Response,dspin,2026,article,Cell,"Jiang, Jialong and Chen, Sisi and Tsou, Tiffany and McGinnis, Christopher S. and Khazaei, Tahmineh and Zhu, Qin and Park, Jong H. and Strazhnik, Inna-Marie and Vielmetter, Jost and Gong, Yingying and Hanna, John and Chow, Eric D. and Sivak, David A. and Gartner, Zev J. and Thomson, Matt","Jiang, Jialong",10.1016/j.cell.2026.04.028,https://doi.org/10.1016/j.cell.2026.04.028,https://doi.org/10.1016/j.cell.2026.04.028,https://github.com/JialongJiang/DSPIN,https://github.com/JialongJiang/DSPIN (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,1,1.69314718,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses chemical perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,,directly_evaluated,Paper models combinatorial immunomodulatory-drug responses and interpolates unobserved combination dosages.,human immune-cell drug-combination screen,False,False,False,False,False,metrics-db/pdfs/dspin.pdf,metrics-db/extracted_markdown/dspin.md,,metrics-db/bib/papers.bib,metrics-db/data/papers/dspin.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
dbDiffusion,Predicting the Unseen: A Diffusion-Based Debiasing Framework for Transcriptional Response Prediction at Single-Cell Resolution,dbDiffusion,2025,article,Proceedings of the National Academy of Sciences,"Shang, Ergan and Wei, Yuting and Roeder, Kathryn","Shang, Ergan",10.1073/pnas.2525268122,https://doi.org/10.1073/pnas.2525268122,https://doi.org/10.1073/pnas.2525268122,https://github.com/ergan-shang/dbDiffusion,https://github.com/ergan-shang/dbDiffusion (benchmark),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,1,1.69314718,not_established,Available local metadata does not establish this capability.,explicit_paper_claim,Paper explicitly predicts previously unobserved genetic perturbations in Perturb-seq data.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/dbDiffusion.pdf,metrics-db/extracted_markdown/dbDiffusion.md,metrics-db/extracted_text/dbDiffusion.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/dbDiffusion.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
DCM,Discrete Diffusion for Single-Cell Gene Expression Modeling,dcm,2026,inproceedings,ICLR 2026 Workshop on Machine Learning for Genomics Explorations,"Bhattacharya, Sanjukta and Gensbigler, Christian and Karim, Shaamil and Lees, Jon","Bhattacharya, Sanjukta",10.64898/2026.02.19.705033,https://doi.org/10.64898/2026.02.19.705033,https://www.biorxiv.org/content/10.64898/2026.02.19.705033v2,,,,model_paper,perturbation_response_modeling; single_cell_rna_seq,,2,2.09861229,not_established,Available local metadata does not establish this capability.,scope_only,"Paper addresses genetic perturbations, but local metadata does not establish held-out-perturbation evaluation.",not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/dcm.pdf,metrics-db/extracted_markdown/dcm.md,metrics-db/extracted_text/dcm.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/dcm.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
Departures,Departures: Distributional Transport for Single-Cell Perturbation Prediction with Neural Schrödinger Bridges,depatures,2025,article,arXiv,"Chi, Changxi and Huang, Yufei and Xia, Jun and Zheng, Jiangbin and Liu, Yunfan and Zang, Zelin and Li, Stan Z.","Chi, Changxi",10.48550/arXiv.2511.13124,https://doi.org/10.48550/arXiv.2511.13124,https://doi.org/10.48550/arXiv.2511.13124,https://github.com/ChangxiChi/Departures,https://github.com/ChangxiChi/Departures (official),,model_paper,perturbation_response_modeling; single_cell_rna_seq,,0,1.0,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,not_established,Available local metadata does not establish this capability.,,not_established,Available local metadata does not establish this capability.,,False,False,False,False,False,metrics-db/pdfs/depatures.pdf,metrics-db/extracted_markdown/depatures.md,metrics-db/extracted_text/depatures.txt,metrics-db/bib/papers.bib,metrics-db/data/papers/depatures.yaml,Notebook word-cloud filter: category=model_paper; tags include perturbation_response_modeling and single_cell_rna_seq; notebook exclusions applied,notebooks/metric_benchmark_correlations_dataframe.ipynb
